p	invnorm	pinvnorm
.5	-.000000	.500000
.417172	-.209134	.417172
.4	-.253347	.400000
.37022	-.331271	.370220
.3	-.524401	.300000
.22264	-.763308	.222640
.2	-.841621	.200000
.149475	-1.03869	.149474
.1	-1.28155	.100000
.0912469	-1.33312	.912462E-1
.09	-1.34076	.899992E-1
.0808389	-1.39945	.808390E-1
.08	-1.40507	.800002E-1
.0738961	-1.44737	.738967E-1
.07	-1.47579	.700001E-1
.0627722	-1.53191	.627723E-1
.06	-1.55477	.600004E-1
.0536804	-1.61017	.536804E-1
.05	-1.64485	.500004E-1
.0498342	-1.64646	.498345E-1
.04	-1.75069	.399997E-1
.0353536	-1.80735	.353539E-1
.03	-1.88079	.300002E-1
.0276565	-1.91641	.276565E-1
.02	-2.05375	.199999E-1
.0164645	-2.13295	.164644E-1
.01	-2.32635	.999994E-2
.00976712	-2.33518	.976701E-2
.009	-2.36562	.899995E-2
.00878021	-2.37476	.878018E-2
.008	-2.40892	.799990E-2
.00782293	-2.41707	.782300E-2
.007	-2.45726	.700007E-2
.00615191	-2.50331	.615189E-2
.006	-2.51214	.600007E-2
.00562545	-2.53481	.562542E-2
.005	-2.57583	.499999E-2
.00431466	-2.62640	.431467E-2
.004	-2.65207	.400000E-2
.00334689	-2.71171	.334686E-2
.003	-2.74778	.300001E-2
.00291717	-2.75695	.291716E-2
.002	-2.87816	.200001E-2
.00151974	-2.96372	.151972E-2
.001	-3.09023	.100001E-2
.000940115	-3.10853	.940103E-3
.0009	-3.12139	.899997E-3
.000860675	-3.13452	.860678E-3
.0008	-3.15591	.799991E-3
.00077854	-3.16383	.778539E-3
.0007	-3.19465	.700003E-3
.000693151	-3.19749	.693146E-3
.0006	-3.23888	.600000E-3
.00058699	-3.24513	.586985E-3
.0005	-3.29053	.499994E-3
.000486651	-3.29813	.486655E-3
.0004	-3.35279	.400007E-3
.000367449	-3.37622	.367446E-3
.0003	-3.43161	.300005E-3
.000275839	-3.45432	.275841E-3
.0002	-3.54008	.200003E-3
.000158187	-3.60151	.158187E-3
.0001	-3.71902	.999986E-4
.0000938922	-3.73491	.938912E-4
.00009	-3.74555	.899995E-4
.0000835562	-3.76416	.835549E-4
.00008	-3.77501	.800006E-4
.0000720022	-3.80119	.720014E-4
.00007	-3.80817	.699995E-4
.000068269	-3.81436	.682682E-4
.00006	-3.84613	.599991E-4
.0000541589	-3.87116	.541593E-4
.00005	-3.89059	.500004E-4
.000044635	-3.91805	.446341E-4
.00004	-3.94440	.400000E-4
.0000397915	-3.94565	.397919E-4
.00003	-4.01281	.300001E-4
.0000212643	-4.09330	.212638E-4
.00002	-4.10748	.200000E-4
.0000121261	-4.22165	.121260E-4
.00001	-4.26489	.100000E-4
9.95843E-6	-4.26582	.995847E-5
9.E-6	-4.28836	.899986E-5
8.73745E-6	-4.29493	.873742E-5
8.E-6	-4.31445	.800004E-5
7.40902E-6	-4.33138	.740888E-5
7.E-6	-4.34386	.700004E-5
6.78009E-6	-4.35086	.678023E-5
6.E-6	-4.37759	.599994E-5
5.75787E-6	-4.38656	.575787E-5
5.E-6	-4.41717	.500008E-5
4.95681E-6	-4.41905	.495679E-5
4.E-6	-4.46518	.400007E-5
3.02807E-6	-4.52442	.302807E-5
3.E-6	-4.52639	.299999E-5
2.31872E-6	-4.58055	.231877E-5
2.E-6	-4.61138	.200002E-5
1.75692E-6	-4.63824	.175694E-5
1.E-6	-4.75342	.100002E-5
9.24298E-7	-4.76931	.924290E-6
9.E-7	-4.77467	.900011E-6
8.58953E-7	-4.78406	.858947E-6
8.E-7	-4.79832	.800010E-6
7.04339E-7	-4.82377	.704349E-6
7.E-7	-4.82500	.700016E-6
6.95602E-7	-4.82626	.695604E-6
6.E-7	-4.85564	.599993E-6
5.31912E-7	-4.87945	.531910E-6
5.E-7	-4.89164	.499996E-6
4.05935E-7	-4.93249	.405940E-6
4.E-7	-4.93537	.399995E-6
3.44186E-7	-4.96462	.344179E-6
3.E-7	-4.99122	.299996E-6
2.915E-7	-4.99677	.291493E-6
2.E-7	-5.06896	.199998E-6
1.57223E-7	-5.11458	.157220E-6
1.E-7	-5.19934	.999987E-7
9.11883E-8	-5.21646	.911875E-7
9.E-8	-5.21889	.899993E-7
8.56976E-8	-5.22796	.856953E-7
8.E-8	-5.24066	.800016E-7
7.25204E-8	-5.25875	.725190E-7
7.E-8	-5.26525	.699994E-7
6.49584E-8	-5.27896	.649596E-7
6.E-8	-5.29350	.599986E-7
5.23672E-8	-5.31831	.523678E-7
5.E-8	-5.32672	.500011E-7
4.47695E-8	-5.34677	.447688E-7
