p	invnorm	pinvnorm
4.E-8	-5.36713	.399997E-7
3.40606E-8	-5.39606	.340601E-7
3.E-8	-5.41880	.300002E-7
2.87298E-8	-5.42653	.287301E-7
2.E-8	-5.49085	.200002E-7
1.42694E-8	-5.55017	.142696E-7
1.E-8	-5.61200	.100001E-7
9.35821E-9	-5.62347	.935796E-8
9.E-9	-5.63020	.900004E-8
8.38195E-9	-5.64246	.838187E-8
8.E-9	-5.65048	.800002E-8
7.04315E-9	-5.67234	.704300E-8
7.E-9	-5.67339	.699995E-8
6.16058E-9	-5.69522	.616065E-8
6.E-9	-5.69973	.599987E-8
5.52233E-9	-5.71385	.552242E-8
5.E-9	-5.73073	.499997E-8
4.69656E-9	-5.74134	.469651E-8
4.E-9	-5.76846	.399996E-8
3.09707E-9	-5.81143	.309707E-8
3.E-9	-5.81676	.299996E-8
2.40081E-9	-5.85391	.240074E-8
2.E-9	-5.88419	.200004E-8
1.7734E-9	-5.90405	.177342E-8
1.E-9	-5.99781	.999982E-9
9.24481E-10	-6.01055	.924475E-9
9.E-10	-6.01490	.899989E-9
8.3428E-10	-6.02717	.834277E-9
8.E-10	-6.03395	.799998E-9
7.22998E-10	-6.05027	.723016E-9
7.E-10	-6.05548	.699998E-9
6.29785E-10	-6.07247	.629788E-9
6.E-10	-6.08024	.600014E-9
5.30453E-10	-6.09997	.530442E-9
5.E-10	-6.10941	.500001E-9
4.88717E-10	-6.11305	.488724E-9
4.E-10	-6.14493	.399994E-9
3.03665E-10	-6.18852	.303659E-9
3.E-10	-6.19043	.300002E-9
2.65112E-10	-6.20989	.265109E-9
2.E-10	-6.25403	.199997E-9
1.39859E-10	-6.30962	.139861E-9
1.E-10	-6.36134	.100001E-9
9.67626E-11	-6.36639	.967645E-10
9.E-11	-6.37750	.900010E-10
8.73257E-11	-6.38212	.873265E-10
8.E-11	-6.39552	.800009E-10
7.93777E-11	-6.39671	.793802E-10
7.E-11	-6.41589	.700013E-10
6.23327E-11	-6.43354	.623329E-10
6.E-11	-6.43933	.600010E-10
5.83847E-11	-6.44347	.583862E-10
5.E-11	-6.46695	.500004E-10
4.96719E-11	-6.46795	.496707E-10
4.E-11	-6.50060	.400001E-10
3.77862E-11	-6.50916	.377861E-10
3.E-11	-6.54374	.299995E-10
2.43148E-11	-6.57507	.243151E-10
2.E-11	-6.60408	.199997E-10
1.67407E-11	-6.63038	.167412E-10
1.E-11	-6.70602	.100002E-10
9.80935E-12	-6.70883	.980955E-11
9.E-12	-6.72139	.899995E-11
8.15875E-12	-6.73567	.815881E-11
8.E-12	-6.73853	.799985E-11
7.27987E-12	-6.75222	.727999E-11
7.E-12	-6.75791	.699982E-11
6.13531E-12	-6.77699	.613527E-11
6.E-12	-6.78021	.600007E-11
5.86416E-12	-6.78352	.586413E-11
5.E-12	-6.80650	.500009E-11
4.75018E-12	-6.81388	.475005E-11
4.E-12	-6.83855	.399994E-11
3.20797E-12	-6.87009	.320807E-11
3.E-12	-6.87965	.299999E-11
2.13995E-12	-6.92762	.213990E-11
2.E-12	-6.93718	.200002E-11
1.29458E-12	-6.99839	.129460E-11
1.E-12	-7.03448	.100003E-11
0.5	.000000	.500000
0.582828	.209134	.582828
0.6	.253347	.600000
0.62978	.331271	.629780
0.7	.524401	.700000
0.77736	.763308	.777360
0.8	.841621	.800000
0.850525	1.03869	.850526
0.9	1.28155	.900000
0.9087531	1.33312	.908754
0.91	1.34076	.910001
0.9191611	1.39945	.919161
0.92	1.40507	.920000
0.9261039	1.44737	.926103
0.93	1.47579	.930000
0.9372278	1.53191	.937228
0.94	1.55477	.940000
0.9463196	1.61017	.946320
0.95	1.64485	.950000
0.9501658	1.64646	.950165
0.96	1.75069	.960000
0.9646464	1.80735	.964646
0.97	1.88079	.970000
0.9723435	1.91641	.972344
0.98	2.05375	.980000
0.9835355	2.13295	.983536
0.99	2.32635	.990000
0.99023288	2.33518	.990233
0.991	2.36562	.991000
0.99121979	2.37476	.991220
0.992	2.40892	.992000
0.99217707	2.41707	.992177
0.993	2.45726	.993000
0.99384809	2.50331	.993848
0.994	2.51214	.994000
0.99437455	2.53481	.994375
0.995	2.57583	.995000
0.99568534	2.62640	.995685
0.996	2.65207	.996000
0.99665311	2.71171	.996653
0.997	2.74778	.997000
0.99708283	2.75695	.997083
0.998	2.87816	.998000
0.99848026	2.96372	.998480
0.999	3.09023	.999000
0.999059885	3.10853	.999060
0.9991	3.12139	.999100
0.999139325	3.13452	.999139
0.9992	3.15591	.999200
0.99922146	3.16383	.999221
0.9993	3.19465	.999300
0.999306849	3.19749	.999307
0.9994	3.23888	.999400
0.99941301	3.24513	.999413
0.9995	3.29053	.999500
0.999513349	3.29813	.999513
0.9996	3.35279	.999600
0.999632551	3.37622	.999633
0.9997	3.43161	.999700
0.999724161	3.45432	.999724
0.9998	3.54008	.999800
0.999841813	3.60151	.999842
0.9999	3.71902	.999900
0.9999061078	3.73491	.999906
0.99991	3.74555	.999910
0.9999164438	3.76416	.999916
0.99992	3.77501	.999920
0.9999279978	3.80119	.999928
0.99993	3.80817	.999930
0.999931731	3.81436	.999932
0.99994	3.84613	.999940
0.9999458411	3.87116	.999946
0.99995	3.89059	.999950
0.999955365	3.91805	.999955
0.99996	3.94440	.999960
0.9999602085	3.94565	.999960
0.99997	4.01281	.999970
0.9999787357	4.09330	.999979
0.99998	4.10748	.999980
0.9999878739	4.22165	.999988
0.99999	4.26489	.999990
0.99999004157	4.26582	.999990
0.999991	4.28836	.999991
0.99999126255	4.29493	.999991
0.999992	4.31445	.999992
0.99999259098	4.33138	.999993
0.999993	4.34386	.999993
0.99999321991	4.35086	.999993
0.999994	4.37759	.999994
0.99999424213	4.38656	.999994
0.999995	4.41717	.999995
0.99999504319	4.41905	.999995
0.999996	4.46518	.999996
0.99999697193	4.52442	.999997
0.999997	4.52639	.999997
0.99999768128	4.58055	.999998
0.999998	4.61138	.999998
0.99999824308	4.63824	.999998
0.999999	4.75342	.999999
0.999999075702	4.76931	.999999
0.9999991	4.77467	.999999
0.999999141047	4.78406	.999999
0.9999992	4.79832	.999999
0.999999295661	4.82377	.999999
0.9999993	4.82500	.999999
0.999999304398	4.82626	.999999
0.9999994	4.85564	.999999
0.999999468088	4.87945	.999999
0.9999995	4.89164	1.00000
0.999999594065	4.93249	1.00000
0.9999996	4.93537	1.00000
0.999999655814	4.96462	1.00000
0.9999997	4.99122	1.00000
0.9999997085	4.99677	1.00000
0.9999998	5.06896	1.00000
0.999999842777	5.11458	1.00000
0.9999999	5.19934	1.00000
0.9999999088117	5.21646	1.00000
0.99999991	5.21889	1.00000
0.9999999143024	5.22796	1.00000
0.99999992	5.24066	1.00000
0.9999999274796	5.25875	1.00000
0.99999993	5.26525	1.00000
0.9999999350416	5.27896	1.00000
0.99999994	5.29350	1.00000
0.9999999476328	5.31831	1.00000
0.99999995	5.32672	1.00000
0.9999999552305	5.34677	1.00000
0.99999996	5.36713	1.00000
0.9999999659394	5.39606	1.00000
0.99999997	5.41880	1.00000
0.9999999712702	5.42653	1.00000
0.99999998	5.49085	1.00000
0.9999999857306	5.55017	1.00000
0.99999999	5.61200	1.00000
0.99999999064179	5.62347	1.00000
0.999999991	5.63020	1.00000
0.99999999161805	5.64246	1.00000
0.999999992	5.65048	1.00000
0.99999999295685	5.67234	1.00000
0.999999993	5.67339	1.00000
0.99999999383942	5.69522	1.00000
0.999999994	5.69973	1.00000
0.99999999447767	5.71385	1.00000
0.999999995	5.73073	1.00000
0.99999999530344	5.74134	1.00000
0.999999996	5.76846	1.00000
0.99999999690293	5.81143	1.00000
0.999999997	5.81676	1.00000
0.99999999759919	5.85391	1.00000
0.999999998	5.88419	1.00000
0.9999999982266	5.90405	1.00000
0.999999999	5.99781	1.00000
0.999999999075519	6.01055	1.00000
0.9999999991	6.01490	1.00000
0.99999999916572	6.02717	1.00000
0.9999999992	6.03395	1.00000
0.999999999277002	6.05027	1.00000
0.9999999993	6.05548	1.00000
0.999999999370215	6.07247	1.00000
0.9999999994	6.08024	1.00000
0.999999999469547	6.09997	1.00000
0.9999999995	6.10941	1.00000
0.999999999511283	6.11305	1.00000
0.9999999996	6.14493	1.00000
0.999999999696335	6.18852	1.00000
0.9999999997	6.19043	1.00000
0.999999999734888	6.20989	1.00000
0.9999999998	6.25403	1.00000
0.999999999860141	6.30962	1.00000
0.9999999999	6.36134	1.00000
0.999999999903237	6.36639	1.00000
0.99999999991	6.37750	1.00000
0.999999999912674	6.38212	1.00000
0.99999999992	6.39552	1.00000
0.999999999920622	6.39671	1.00000
0.99999999993	6.41589	1.00000
0.999999999937667	6.43354	1.00000
0.99999999994	6.43933	1.00000
0.999999999941615	6.44347	1.00000
0.99999999995	6.46695	1.00000
0.999999999950328	6.46795	1.00000
0.99999999996	6.50060	1.00000
0.999999999962214	6.50916	1.00000
0.99999999997	6.54374	1.00000
0.999999999975685	6.57507	1.00000
0.99999999998	6.60408	1.00000
0.999999999983259	6.63038	1.00000
0.99999999999	6.70602	1.00000
0.999999999990191	6.70883	1.00000
0.999999999991	6.72139	1.00000
0.999999999991841	6.73567	1.00000
0.999999999992	6.73853	1.00000
0.99999999999272	6.75222	1.00000
0.999999999993	6.75791	1.00000
0.999999999993865	6.77699	1.00000
0.999999999994	6.78021	1.00000
0.999999999994136	6.78352	1.00000
0.999999999995	6.80650	1.00000
0.99999999999525	6.81388	1.00000
0.999999999996	6.83855	1.00000
0.999999999996792	6.87009	1.00000
0.999999999997	6.87965	1.00000
0.99999999999786	6.92762	1.00000
0.999999999998	6.93718	1.00000
0.999999999998705	6.99839	1.00000
0.999999999999	7.03448	1.00000
